"age_lexSet","measurement.no","preSeg","id","word","fit","se.fit"
"Old.hole",18.3673469387755,"velar","D58A_FO","KNOW",551.819442084253,15.3087996092656
"Young.hole",18.3673469387755,"velar","D58A_FO","KNOW",445.905796115214,43.7354985069318
"Old.hope",20.4081632653061,"velar","D58A_FO","KNOW",555.292266799227,9.7577033687002
"Young.hope",20.4081632653061,"velar","D58A_FO","KNOW",552.034754506287,14.462278252933
"Old.hole",20.4081632653061,"velar","D58A_FO","KNOW",553.811084588314,14.7614624805217
"Young.hole",20.4081632653061,"velar","D58A_FO","KNOW",448.101146510122,42.6815954142352
"Old.hope",22.4489795918367,"velar","D58A_FO","KNOW",557.278591151963,9.23411453188844
"Young.hope",22.4489795918367,"velar","D58A_FO","KNOW",555.8640770087,13.9090299415982
"Old.hole",22.4489795918367,"velar","D58A_FO","KNOW",555.887154870453,14.2531772452988
"Young.hole",22.4489795918367,"velar","D58A_FO","KNOW",450.380910484635,41.7455892866624
"Old.hope",24.4897959183673,"velar","D58A_FO","KNOW",559.339130414327,8.72788120669297
"Young.hope",24.4897959183673,"velar","D58A_FO","KNOW",559.767618826553,13.3873481436548
"Old.hole",24.4897959183673,"velar","D58A_FO","KNOW",558.037449548809,13.791556110772
"Young.hole",24.4897959183673,"velar","D58A_FO","KNOW",452.734882123638,40.9366756374903
"Old.hope",26.530612244898,"velar","D58A_FO","KNOW",561.462115183902,8.24702585253271
"Young.hope",26.530612244898,"velar","D58A_FO","KNOW",563.733610863977,12.9041448028205
"Old.hole",26.530612244898,"velar","D58A_FO","KNOW",560.250200552955,13.3844001278191
"Young.hole",26.530612244898,"velar","D58A_FO","KNOW",455.15129075985,40.2635011021422
"Old.hope",28.5714285714286,"velar","D58A_FO","KNOW",563.635776058272,7.79499528356374
"Young.hope",28.5714285714286,"velar","D58A_FO","KNOW",567.7502840251,12.463113205596
"Old.hole",28.5714285714286,"velar","D58A_FO","KNOW",562.513639812463,13.0360641243839
"Young.hole",28.5714285714286,"velar","D58A_FO","KNOW",457.618365725992,39.7327171431915
"Old.hope",30.6122448979592,"velar","D58A_FO","KNOW",565.848222756553,7.36965327673146
"Young.hope",30.6122448979592,"velar","D58A_FO","KNOW",571.805748332975,12.0643322640644
"Old.hole",30.6122448979592,"velar","D58A_FO","KNOW",564.815878377646,12.7470664371355
"Young.hole",30.6122448979592,"velar","D58A_FO","KNOW",460.124215474163,39.3486887373516
"Old.hope",32.6530612244898,"velar","D58A_FO","KNOW",568.078212585869,6.97141369614248
"Young.hope",32.6530612244898,"velar","D58A_FO","KNOW",575.878761196725,11.7094561119013
"Old.hole",32.6530612244898,"velar","D58A_FO","KNOW",567.135674825501,12.5190251397948
"Young.hole",32.6530612244898,"velar","D58A_FO","KNOW",462.64759587816,39.1149385158749
"Old.hope",34.6938775510204,"velar","D58A_FO","KNOW",570.288657737869,6.61067227955917
"Young.hope",34.6938775510204,"velar","D58A_FO","KNOW",579.932234567708,11.4057665385788
"Old.hole",34.6938775510204,"velar","D58A_FO","KNOW",569.435942513614,12.3582520312523
"Young.hole",34.6938775510204,"velar","D58A_FO","KNOW",465.15141741439,39.0350946665984
"Old.hope",36.734693877551,"velar","D58A_FO","KNOW",572.44102631205,6.29845598469701
"Young.hope",36.734693877551,"velar","D58A_FO","KNOW",583.92763627197,11.1600255624528
"Old.hole",36.734693877551,"velar","D58A_FO","KNOW",571.678150697346,12.2697398219171
"Young.hole",36.734693877551,"velar","D58A_FO","KNOW",467.597146439801,39.1108350558725
"Old.hope",38.7755102040816,"velar","D58A_FO","KNOW",574.496845447983,6.04075653782802
"Young.hope",38.7755102040816,"velar","D58A_FO","KNOW",587.826493175632,10.9752805404622
"Old.hole",38.7755102040816,"velar","D58A_FO","KNOW",573.823827672133,12.2542963978288
"Young.hole",38.7755102040816,"velar","D58A_FO","KNOW",469.946308351412,39.3410232376809
"Old.hope",40.8163265306122,"velar","D58A_FO","KNOW",576.418012534158,5.83752905780687
"Young.hope",40.8163265306122,"velar","D58A_FO","KNOW",591.590702394655,10.850738001415
"Old.hole",40.8163265306122,"velar","D58A_FO","KNOW",575.834871979081,12.3087503258254
"Young.hole",40.8163265306122,"velar","D58A_FO","KNOW",472.160798815432,39.721904024689
"Old.hope",42.8571428571429,"velar","D58A_FO","KNOW",578.180780132833,5.69219516895043
"Young.hope",42.8571428571429,"velar","D58A_FO","KNOW",595.196516254537,10.7872090207249
"Old.hole",42.8571428571429,"velar","D58A_FO","KNOW",577.687537206701,12.4310770533345
"Young.hole",42.8571428571429,"velar","D58A_FO","KNOW",474.216869459638,40.2488566069135
"Old.hope",44.8979591836735,"velar","D58A_FO","KNOW",579.780048684723,5.61556137332379
"Young.hope",44.8979591836735,"velar","D58A_FO","KNOW",598.6388350057,10.7890519129388
"Old.hole",44.8979591836735,"velar","D58A_FO","KNOW",579.376724657819,12.6221065803104
"Young.hole",44.8979591836735,"velar","D58A_FO","KNOW",476.109420813661,40.9171023437737
"Old.hope",46.9387755102041,"velar","D58A_FO","KNOW",581.21196489965,5.61376212991754
"Young.hope",46.9387755102041,"velar","D58A_FO","KNOW",601.91380517078,10.8579487197512
"Old.hole",46.9387755102041,"velar","D58A_FO","KNOW",580.898581893395,12.8802279902154
"Young.hole",46.9387755102041,"velar","D58A_FO","KNOW",477.834599744628,41.7202984349084
"Old.hope",48.9795918367347,"velar","D58A_FO","KNOW",582.472675487434,5.68396367527274
"Young.hope",48.9795918367347,"velar","D58A_FO","KNOW",605.017573272408,10.9911360291777
"Old.hole",48.9795918367347,"velar","D58A_FO","KNOW",582.249256474388,13.2002549347255
"Young.hole",48.9795918367347,"velar","D58A_FO","KNOW",479.38855311967,42.6504333907463
"Old.hope",51.0204081632653,"velar","D58A_FO","KNOW",583.558939318126,5.81675383954537
"Young.hope",51.0204081632653,"velar","D58A_FO","KNOW",607.946897995719,11.1827742072287
"Old.hole",51.0204081632653,"velar","D58A_FO","KNOW",583.425508101936,13.5748912193093
"Young.hole",51.0204081632653,"velar","D58A_FO","KNOW",480.768039998217,43.6984943564352
"Old.hope",53.0612244897959,"velar","D58A_FO","KNOW",584.481594947022,6.00798400093024
"Young.hope",53.0612244897959,"velar","D58A_FO","KNOW",610.712617763299,11.4299236075603
"Old.hole",53.0612244897959,"velar","D58A_FO","KNOW",584.43817570122,13.9997534586482
"Young.hole",53.0612244897959,"velar","D58A_FO","KNOW",481.983899862689,44.8562161054693
"Old.hope",55.1020408163265,"velar","D58A_FO","KNOW",585.265560614674,6.25862927307531
"Young.hope",55.1020408163265,"velar","D58A_FO","KNOW",613.339650735196,11.7324541324461
"Old.hole",55.1020408163265,"velar","D58A_FO","KNOW",585.312177421472,14.4731572539093
"Young.hole",55.1020408163265,"velar","D58A_FO","KNOW",483.061052618488,46.1162007023066
"Old.hope",57.1428571428571,"velar","D58A_FO","KNOW",585.936366721856,6.56440104028869
"Young.hope",57.1428571428571,"velar","D58A_FO","KNOW",615.853527233953,12.0875743125996
"Old.hole",57.1428571428571,"velar","D58A_FO","KNOW",586.073043552097,14.9916065058513
"Young.hole",57.1428571428571,"velar","D58A_FO","KNOW",484.025030363321,47.470654539097
"Old.hope",59.1836734693878,"velar","D58A_FO","KNOW",586.519543669345,6.91530078978144
"Young.hope",59.1836734693878,"velar","D58A_FO","KNOW",618.279777582114,12.4893084274953
"Old.hole",59.1836734693878,"velar","D58A_FO","KNOW",586.746304382504,15.5493988968229
"Young.hole",59.1836734693878,"velar","D58A_FO","KNOW",484.901365194898,48.9113496517407
"Old.hope",61.2244897959184,"velar","D58A_FO","KNOW",587.040603350176,7.29998242448679
"Young.hope",61.2244897959184,"velar","D58A_FO","KNOW",620.643913581037,12.9305772601051
"Old.hole",61.2244897959184,"velar","D58A_FO","KNOW",587.357471658607,16.1402643789847
"Young.hole",61.2244897959184,"velar","D58A_FO","KNOW",485.715570680295,50.4301938921299
"Old.hope",63.265306122449,"velar","D58A_FO","KNOW",587.524780726703,7.71517439697647
"Young.hope",63.265306122449,"velar","D58A_FO","KNOW",622.971169900232,13.4085029517931
"Old.hole",63.265306122449,"velar","D58A_FO","KNOW",587.931779660775,16.7615259407934
"Young.hole",63.265306122449,"velar","D58A_FO","KNOW",486.49288311349,52.0206079028259
"Old.hope",65.3061224489796,"velar","D58A_FO","KNOW",587.997097579498,8.16141657486122
"Young.hope",65.3061224489796,"velar","D58A_FO","KNOW",625.28656787257,13.9223570814052
"Old.hole",65.3061224489796,"velar","D58A_FO","KNOW",588.494249075841,17.412366650831
"Young.hole",65.3061224489796,"velar","D58A_FO","KNOW",487.258325343079,53.6770223153634
"Old.hope",67.3469387755102,"velar","D58A_FO","KNOW",588.482563740701,8.63496993506881
"Young.hope",67.3469387755102,"velar","D58A_FO","KNOW",627.615116878507,14.4689534632633
"Old.hole",67.3469387755102,"velar","D58A_FO","KNOW",589.06988863162,18.0901075760899
"Young.hole",67.3469387755102,"velar","D58A_FO","KNOW",488.036908262443,55.3936856087065
"Old.hope",69.3877551020408,"velar","D58A_FO","KNOW",589.005801163166,9.12843089540092
"Young.hope",69.3877551020408,"velar","D58A_FO","KNOW",629.981438419211,15.0428089258365
"Old.hole",69.3877551020408,"velar","D58A_FO","KNOW",589.683319176638,18.7903056644938
"Young.hole",69.3877551020408,"velar","D58A_FO","KNOW",488.853254885678,57.1646672059443
"Old.hope",71.4285714285714,"velar","D58A_FO","KNOW",589.590340877094,9.63497675138577
"Young.hope",71.4285714285714,"velar","D58A_FO","KNOW",632.409063083484,15.6386033165666
"Old.hole",71.4285714285714,"velar","D58A_FO","KNOW",590.358070621371,19.5086835695308
"Young.hole",71.4285714285714,"velar","D58A_FO","KNOW",489.730897283575,58.9844603620315
"Old.hope",73.469387755102,"velar","D58A_FO","KNOW",590.254606620433,10.1557188459212
"Young.hope",73.469387755102,"velar","D58A_FO","KNOW",634.916414274061,16.2558423812958
"Old.hole",73.469387755102,"velar","D58A_FO","KNOW",591.112565425066,20.244846655168
"Young.hole",73.469387755102,"velar","D58A_FO","KNOW",490.688260021456,60.8492001165442
