fileNameGoal,word,style,vowel,prec_seg,fol_seg,duration,F1@0%,F1@10%,F1@20%,F1@30%,F1@40%,F1@50%,F1@60%,F1@70%,F1@80%,F1@90%,F1@100%,F2@0%,F2@10%,F2@20%,F2@30%,F2@40%,F2@50%,F2@60%,F2@70%,F2@80%,F2@90%,F2@100%
012_FY_20190703-GOAL,shoal,wordList,OWL1,SH,sp,0.49,971.2989093,914.4645752,719.0743997,737.4347093,745.0410663,744.0312907,735.166233,573.198036,1427.02536,1231.366092,1440.257816,2361.059262,1898.350703,1676.220081,1759.580075,1757.954857,1723.35493,1673.571338,1721.637495,2351.589974,2057.469516,2183.208131
012_FY_20190703-GOAL,soulful,wordList,OWL1,S,F,0.17,952.1209959,600.4233083,1761.951245,1805.44357,1808.58863,1793.873955,323.1019966,1613.054537,1417.145562,1605.810695,1306.214403,2326.001906,2161.683078,3092.571927,3111.221276,2452.577321,3147.936892,1792.218679,2668.365157,2494.84524,2553.02034,2554.715343
012_FY_20190703-GOAL,foaling,wordList,OWL1,F,IH0,0.24,601.4930175,639.1943824,639.2821375,639.7633422,628.6061938,629.439693,697.4136175,640.210641,729.3629274,670.9257767,746.1341942,1890.829388,1910.1194,1906.609428,1877.109813,1881.946957,1829.814077,1867.133235,1877.385872,1883.170051,1864.390245,1845.603597
012_FY_20190703-GOAL,roll,wordList,OWL1,R,sp,0.49,739.0249585,667.7381662,751.838257,491.2233213,483.5673921,662.1314896,540.7999576,557.2504413,603.6647981,625.7550734,670.3069225,2128.844721,2002.23388,2094.079843,1847.961673,1942.838336,1789.774987,1421.064613,1427.271667,1553.182012,1260.877612,1225.14096
012_FY_20190703-GOAL,holy,wordList,OWL1,HH,IY0,0.22,800.0607734,826.5639604,811.704808,810.4402941,828.862738,761.8570394,804.5842023,719.357813,779.4573923,848.5464268,772.6338388,1758.18334,1922.991643,1793.946072,1813.88996,1769.383932,1723.57889,1681.393555,1624.584397,1407.306024,1305.772756,1544.207238
012_FY_20190703-GOAL,goal,wordList,OWL1,G,sp,0.42,856.8312789,901.3521739,814.8532693,812.9891596,860.4179936,834.2035759,779.4455745,700.1709524,729.6313267,820.0635044,765.4048492,1710.533215,1797.839251,1737.752892,1578.895524,1497.124061,1646.499869,1932.277537,1959.573594,1985.160138,1562.996761,1539.83931
012_FY_20190703-GOAL,wholly,wordList,OWL1,HH,IY0,0.22,516.6883796,547.6113183,492.300751,493.3019605,508.4418254,485.7224667,502.3968155,484.0221964,483.5266692,495.1792311,508.249693,2121.514591,2121.843779,2167.610315,2327.732612,2312.01526,2192.518593,2347.547597,2144.86598,2087.486054,2091.013661,1947.740416
012_FY_20190703-GOAL,sole,wordList,OWL1,S,,0.44,1016.199968,1061.826295,932.4632507,1136.566655,1272.124787,1281.931513,714.4084432,713.1141256,962.1090159,793.9106235,750.409341,1730.596248,1752.3253,1796.81358,1761.730406,1780.869117,2145.63596,2028.253187,1980.105012,1959.314529,2019.376828,1715.890779
012_FY_20190703-GOAL,poler,wordList,OWL1,P,AH0,0.25,527.9471977,532.1783904,555.5519859,548.4941466,559.8996933,564.5975015,566.8664384,520.6156456,511.4438742,528.9207317,520.3185495,1298.512855,1253.509607,1193.816199,1166.652803,1183.293072,1152.169046,1148.526807,1131.584918,1083.303801,1105.185825,1084.343128
012_FY_20190703-GOAL,solo,wordList,OWL1,S,OW2,0.06,1068.404912,1129.898357,1166.532058,1076.269401,1028.861672,1020.407723,965.8807723,965.4928066,1017.058712,1056.944321,1012.687713,1576.263647,1597.460588,1574.916063,1662.923095,1685.204711,1562.038577,1536.45129,1593.316312,1617.284864,1547.218383,1491.685078
012_FY_20190703-GOAL,goalie,wordList,OWL1,G,IY0,0.13,581.4353516,825.0604309,671.2726453,1068.279076,1072.216204,1210.449857,1013.802982,890.8152059,970.8183155,851.5938102,1008.255695,1883.473933,1706.393712,2014.59621,2027.72946,1938.46586,2608.215935,2149.894341,2044.52823,2097.144781,1942.644573,1649.696862
012_FY_20190703-GOAL,dole,wordList,OWL1,D,sp,0.48,664.1811434,413.8424216,920.6147922,981.8781424,521.3662437,783.829315,1083.799091,1195.69483,846.2295964,620.5896414,1210.068719,1171.370446,1204.01941,1829.317103,1442.384312,1302.96805,1529.046746,2083.638701,2443.85212,1805.738307,1656.728642,2145.671193
012_FY_20190703-GOAL,cold,wordList,OWL1,K,D,0.35,403.6553538,404.9339002,407.942085,421.5329234,465.0006672,378.2307021,888.1793088,745.015177,992.9792456,1115.920877,1106.436214,1856.794872,1756.51727,1769.411723,1779.343508,1727.439969,1732.931291,1989.139942,1879.215765,1766.549969,1947.593503,2132.695764
012_FY_20190703-GOAL,rolex,wordList,OWL1,R,EH0,0.14,826.2412386,1183.090008,902.4851932,851.9986678,933.4138695,793.0429043,893.846364,1150.32708,1359.918336,718.6207771,1044.869569,1683.921056,1901.747785,1755.404831,1743.622079,1696.310553,2041.432529,1705.130432,2484.670202,2657.387611,1670.496712,1951.064026
012_FY_20190703-GOAL,coaly,wordList,OWL1,K,IY0,0.22,927.5882016,900.1545227,894.7650749,878.4404066,914.4905525,766.0361538,1147.516106,1035.224932,904.5284107,1525.115275,1170.175177,1724.844215,1673.179246,1715.997141,1621.015291,1664.989219,1668.836171,1974.248734,2005.32323,1745.509844,2660.412059,2396.964245
012_FY_20190703-GOAL,xxbowlerxx,wordList,OWL1,B,AH0,0.29,754.3275047,885.7630256,788.2939682,1265.216449,796.8111249,669.7538837,558.4179504,801.4701948,629.0253961,818.5960659,717.829413,1742.67577,1818.21521,1977.86369,1697.7388,1922.79582,1795.650126,1839.420272,1900.649042,1957.198432,1875.191652,1855.720405
012_FY_20190703-GOAL,poling,wordList,OWL1,P,IH0,0.16,531.6431535,518.5739446,519.6698651,511.3340904,500.3624775,501.2768787,525.8538337,534.8817103,537.1590934,498.3138367,344.6812735,1161.792376,1187.152177,1101.998385,1092.284674,1070.196366,1067.791435,1118.139554,1105.88116,1132.583717,1082.983014,1146.567539
