"lexSet_ord","measurement.no","preSeg","dur","id","word","fit","se.fit"
"hole",24.4897959183673,"nasal_apical",0.139541818181818,"017_FY","KNOW",641.771436864246,7.81371024549434
"hope",26.530612244898,"nasal_apical",0.139541818181818,"017_FY","KNOW",610.838426743125,5.56219323237712
"hole",26.530612244898,"nasal_apical",0.139541818181818,"017_FY","KNOW",641.199359665887,7.54255961036247
"hope",28.5714285714286,"nasal_apical",0.139541818181818,"017_FY","KNOW",609.34808313246,5.28477018603606
"hole",28.5714285714286,"nasal_apical",0.139541818181818,"017_FY","KNOW",640.28900077266,7.30502285006142
"hope",30.6122448979592,"nasal_apical",0.139541818181818,"017_FY","KNOW",607.534979771516,5.02138619279126
"hole",30.6122448979592,"nasal_apical",0.139541818181818,"017_FY","KNOW",639.032847959154,7.09562553680492
"hope",32.6530612244898,"nasal_apical",0.139541818181818,"017_FY","KNOW",605.406931361734,4.76673436690671
"hole",32.6530612244898,"nasal_apical",0.139541818181818,"017_FY","KNOW",637.436668419305,6.91097293940824
"hope",34.6938775510204,"nasal_apical",0.139541818181818,"017_FY","KNOW",602.993394399943,4.52972428624344
"hole",34.6938775510204,"nasal_apical",0.139541818181818,"017_FY","KNOW",635.528621160357,6.7586863238915
"hope",36.734693877551,"nasal_apical",0.139541818181818,"017_FY","KNOW",600.324867514438,4.32361327177662
"hole",36.734693877551,"nasal_apical",0.139541818181818,"017_FY","KNOW",633.337979971721,6.64819264228561
"hope",38.7755102040816,"nasal_apical",0.139541818181818,"017_FY","KNOW",597.431163484892,4.15658932759255
"hole",38.7755102040816,"nasal_apical",0.139541818181818,"017_FY","KNOW",630.893332794191,6.58362569341386
"hope",40.8163265306122,"nasal_apical",0.139541818181818,"017_FY","KNOW",594.34209589232,4.02712914084272
"hole",40.8163265306122,"nasal_apical",0.139541818181818,"017_FY","KNOW",628.223258434403,6.56158603754503
"hope",42.8571428571429,"nasal_apical",0.139541818181818,"017_FY","KNOW",591.087953842641,3.9359883642334
"hole",42.8571428571429,"nasal_apical",0.139541818181818,"017_FY","KNOW",625.35642498144,6.58048323555006
"hope",44.8979591836735,"nasal_apical",0.139541818181818,"017_FY","KNOW",587.699644165449,3.89179609794929
"hole",44.8979591836735,"nasal_apical",0.139541818181818,"017_FY","KNOW",622.321616505444,6.64414773058795
"hope",46.9387755102041,"nasal_apical",0.139541818181818,"017_FY","KNOW",584.208114973852,3.89573560033339
"hole",46.9387755102041,"nasal_apical",0.139541818181818,"017_FY","KNOW",619.147624827764,6.75147300864158
"hope",48.9795918367347,"nasal_apical",0.139541818181818,"017_FY","KNOW",580.644314380955,3.93728339339375
"hole",48.9795918367347,"nasal_apical",0.139541818181818,"017_FY","KNOW",615.863241769751,6.89425436715968
"hope",51.0204081632653,"nasal_apical",0.139541818181818,"017_FY","KNOW",577.039292522832,4.00011780201781
"hole",51.0204081632653,"nasal_apical",0.139541818181818,"017_FY","KNOW",612.497406469711,7.06109722211165
"hope",53.0612244897959,"nasal_apical",0.139541818181818,"017_FY","KNOW",573.426446063825,4.08325491093815
"hole",53.0612244897959,"nasal_apical",0.139541818181818,"017_FY","KNOW",609.082446355899,7.25033933435692
"hope",55.1020408163265,"nasal_apical",0.139541818181818,"017_FY","KNOW",569.841518196544,4.1999677114761
"hole",55.1020408163265,"nasal_apical",0.139541818181818,"017_FY","KNOW",605.654077146526,7.46902621136706
"hope",57.1428571428571,"nasal_apical",0.139541818181818,"017_FY","KNOW",566.320354136567,4.35695162109279
"hole",57.1428571428571,"nasal_apical",0.139541818181818,"017_FY","KNOW",602.248161876755,7.72016358478732
"hope",59.1836734693878,"nasal_apical",0.139541818181818,"017_FY","KNOW",562.898799099472,4.55039133697342
"hole",59.1836734693878,"nasal_apical",0.139541818181818,"017_FY","KNOW",598.900563581752,8.00055807673217
"hope",61.2244897959184,"nasal_apical",0.139541818181818,"017_FY","KNOW",559.612101152705,4.77102217300113
"hole",61.2244897959184,"nasal_apical",0.139541818181818,"017_FY","KNOW",595.646682873277,8.30390142349067
"hope",63.265306122449,"nasal_apical",0.139541818181818,"017_FY","KNOW",556.486573258367,5.01756751699919
"hole",63.265306122449,"nasal_apical",0.139541818181818,"017_FY","KNOW",592.515001138849,8.62930871042562
"hope",65.3061224489796,"nasal_apical",0.139541818181818,"017_FY","KNOW",553.541650116764,5.29126115241959
"hole",65.3061224489796,"nasal_apical",0.139541818181818,"017_FY","KNOW",589.528673333463,8.97785317003617
"hope",67.3469387755102,"nasal_apical",0.139541818181818,"017_FY","KNOW",550.796603377433,5.58544438807919
"hole",67.3469387755102,"nasal_apical",0.139541818181818,"017_FY","KNOW",586.71073127978,9.34551433485021
"hope",69.3877551020408,"nasal_apical",0.139541818181818,"017_FY","KNOW",548.271537610301,5.88946377150694
"hole",69.3877551020408,"nasal_apical",0.139541818181818,"017_FY","KNOW",584.085039720851,9.72520375884443
"hope",71.4285714285714,"nasal_apical",0.139541818181818,"017_FY","KNOW",545.986891628665,6.19644064095631
"hole",71.4285714285714,"nasal_apical",0.139541818181818,"017_FY","KNOW",581.675810179347,10.1118288795468
"hope",73.469387755102,"nasal_apical",0.139541818181818,"017_FY","KNOW",543.953337839875,6.51154521668087
"hole",73.469387755102,"nasal_apical",0.139541818181818,"017_FY","KNOW",579.49761719138,10.5085369138865
"hope",75.5102040816327,"nasal_apical",0.139541818181818,"017_FY","KNOW",542.175699638112,6.84162024685114
"hole",75.5102040816327,"nasal_apical",0.139541818181818,"017_FY","KNOW",577.559262630391,10.9199794956279
"hope",77.5510204081633,"nasal_apical",0.139541818181818,"017_FY","KNOW",540.656082390513,7.18491231643157
"hole",77.5510204081633,"nasal_apical",0.139541818181818,"017_FY","KNOW",575.866831329594,11.3450485759744
"hope",79.5918367346939,"nasal_apical",0.139541818181818,"017_FY","KNOW",539.39145892488,7.53298943890351
"hole",79.5918367346939,"nasal_apical",0.139541818181818,"017_FY","KNOW",574.421275582871,11.7778597648404
"hope",81.6326530612245,"nasal_apical",0.139541818181818,"017_FY","KNOW",538.374318645999,7.8783156681317
"hole",81.6326530612245,"nasal_apical",0.139541818181818,"017_FY","KNOW",573.218902703011,12.2129781944121
"hope",83.6734693877551,"nasal_apical",0.139541818181818,"017_FY","KNOW",537.568381005255,8.22617618491545
"hole",83.6734693877551,"nasal_apical",0.139541818181818,"017_FY","KNOW",572.226056034268,12.6541476872452
"hope",85.7142857142857,"nasal_apical",0.139541818181818,"017_FY","KNOW",536.926882104499,8.58515570988543
"hole",85.7142857142857,"nasal_apical",0.139541818181818,"017_FY","KNOW",571.39806041024,13.1076173101466
"hope",87.7551020408163,"nasal_apical",0.139541818181818,"017_FY","KNOW",536.408916233242,8.95853606665487
"hole",87.7551020408163,"nasal_apical",0.139541818181818,"017_FY","KNOW",570.696096327842,13.5758175021086
"hope",89.7959183673469,"nasal_apical",0.139541818181818,"017_FY","KNOW",535.97446802804,9.3426855449396
"hole",89.7959183673469,"nasal_apical",0.139541818181818,"017_FY","KNOW",570.082234631036,14.0561879341682
"hope",91.8367346938776,"nasal_apical",0.139541818181818,"017_FY","KNOW",535.587404534331,9.73348766197263
"hole",91.8367346938776,"nasal_apical",0.139541818181818,"017_FY","KNOW",569.52200451376,14.5458330599302
"hope",93.8775510204082,"nasal_apical",0.139541818181818,"017_FY","KNOW",535.23259188977,10.138232202052
"hole",93.8775510204082,"nasal_apical",0.139541818181818,"017_FY","KNOW",568.999640621222,15.0503912624785
"hope",95.9183673469388,"nasal_apical",0.139541818181818,"017_FY","KNOW",534.90196338782,10.5694376249174
"hole",95.9183673469388,"nasal_apical",0.139541818181818,"017_FY","KNOW",568.505672839263,15.579484470018
"hope",97.9591836734694,"nasal_apical",0.139541818181818,"017_FY","KNOW",534.587457647612,11.036780612251
"hole",97.9591836734694,"nasal_apical",0.139541818181818,"017_FY","KNOW",568.030635797692,16.140685173024
"hope",100,"nasal_apical",0.139541818181818,"017_FY","KNOW",534.281013288274,11.543574048363
