"lexSet_ord","ageGroup","sex","measurement.no","preSeg","dur","id","word","fit","se.fit"
"holey","Young","Female",12.2448979591837,"none",0.138951289398281,"019_FO","OLDER",1316.64745522051,65.4585871502403
"holy","Young","Female",12.2448979591837,"none",0.138951289398281,"019_FO","OLDER",1534.11893038164,71.9739911683126
"hole","Old","Male",12.2448979591837,"none",0.138951289398281,"019_FO","OLDER",1198.62746328889,54.5231875297461
"holey","Old","Male",12.2448979591837,"none",0.138951289398281,"019_FO","OLDER",1381.22803544824,65.3575324328678
"holy","Old","Male",12.2448979591837,"none",0.138951289398281,"019_FO","OLDER",1598.69951060937,71.9031975153873
"hole","Young","Male",12.2448979591837,"none",0.138951289398281,"019_FO","OLDER",1167.16975298144,68.5773162698521
"holey","Young","Male",12.2448979591837,"none",0.138951289398281,"019_FO","OLDER",1349.77032514078,77.4648947866614
"holy","Young","Male",12.2448979591837,"none",0.138951289398281,"019_FO","OLDER",1567.24180030192,83.159568254643
"hole","Old","Female",14.2857142857143,"none",0.138951289398281,"019_FO","OLDER",1161.35795832087,39.4131870231998
"holey","Old","Female",14.2857142857143,"none",0.138951289398281,"019_FO","OLDER",1346.7639504094,52.4362326527652
"holy","Old","Female",14.2857142857143,"none",0.138951289398281,"019_FO","OLDER",1566.53772801932,59.8411927495419
"hole","Young","Female",14.2857142857143,"none",0.138951289398281,"019_FO","OLDER",1128.70601905644,52.6706385646864
"holey","Young","Female",14.2857142857143,"none",0.138951289398281,"019_FO","OLDER",1314.11201114498,63.0051007173788
"holy","Young","Female",14.2857142857143,"none",0.138951289398281,"019_FO","OLDER",1533.88578875489,69.3966371807603
"hole","Old","Male",14.2857142857143,"none",0.138951289398281,"019_FO","OLDER",1194.10593894793,52.5303097028011
"holey","Old","Male",14.2857142857143,"none",0.138951289398281,"019_FO","OLDER",1379.51193103647,62.9071945870685
"holy","Old","Male",14.2857142857143,"none",0.138951289398281,"019_FO","OLDER",1599.28570864638,69.3317182904687
"hole","Young","Male",14.2857142857143,"none",0.138951289398281,"019_FO","OLDER",1161.4539996835,66.2261071710058
"holey","Young","Male",14.2857142857143,"none",0.138951289398281,"019_FO","OLDER",1346.85999177204,74.7199192349313
"holy","Young","Male",14.2857142857143,"none",0.138951289398281,"019_FO","OLDER",1566.63376938195,80.2961956850161
"hole","Old","Female",16.3265306122449,"none",0.138951289398281,"019_FO","OLDER",1156.41596648264,37.7932918723605
"holey","Old","Female",16.3265306122449,"none",0.138951289398281,"019_FO","OLDER",1344.62738237171,50.3005689490579
"holy","Old","Female",16.3265306122449,"none",0.138951289398281,"019_FO","OLDER",1566.71056725764,57.6166056410977
"hole","Young","Female",16.3265306122449,"none",0.138951289398281,"019_FO","OLDER",1122.45167071337,50.7724333106949
"holey","Young","Female",16.3265306122449,"none",0.138951289398281,"019_FO","OLDER",1310.66308660244,60.6555071969499
"holy","Young","Female",16.3265306122449,"none",0.138951289398281,"019_FO","OLDER",1532.74627148838,66.9509964876174
"hole","Old","Male",16.3265306122449,"none",0.138951289398281,"019_FO","OLDER",1188.78545931512,50.6358437750981
"holey","Old","Male",16.3265306122449,"none",0.138951289398281,"019_FO","OLDER",1376.99687520419,60.5569151329014
"holy","Old","Male",16.3265306122449,"none",0.138951289398281,"019_FO","OLDER",1599.08006009013,66.8862047756967
"hole","Young","Male",16.3265306122449,"none",0.138951289398281,"019_FO","OLDER",1154.82116354585,63.9942513193765
"holey","Young","Male",16.3265306122449,"none",0.138951289398281,"019_FO","OLDER",1343.03257943492,72.0961284709907
"holy","Young","Male",16.3265306122449,"none",0.138951289398281,"019_FO","OLDER",1565.11576432086,77.5776741579139
"hole","Old","Female",18.3673469387755,"none",0.138951289398281,"019_FO","OLDER",1150.61849095605,36.2513025943811
"holey","Old","Female",18.3673469387755,"none",0.138951289398281,"019_FO","OLDER",1341.6353351472,48.2475365109079
"holy","Old","Female",18.3673469387755,"none",0.138951289398281,"019_FO","OLDER",1566.03110036484,55.5052316314699
