"age_sex_lexSet","measurement.no","preSeg","dur","id","word","fit","se.fit"
"Old.Male.hope",14.2857142857143,"velar",0.128280871670702,"D58A_FO","KNOW",1192.37361883995,46.6086401315623
"Young.Male.hope",14.2857142857143,"velar",0.128280871670702,"D58A_FO","KNOW",1389.55785578951,50.4911354258752
"Old.Female.hole",14.2857142857143,"velar",0.128280871670702,"D58A_FO","KNOW",1014.99669877153,59.0968398744036
"Old.Male.hole",14.2857142857143,"velar",0.128280871670702,"D58A_FO","KNOW",1212.44175288055,105.819008739848
"Young.Male.hole",14.2857142857143,"velar",0.128280871670702,"D58A_FO","KNOW",1006.16235728301,145.71582612134
"Old.Female.hope",16.3265306122449,"velar",0.128280871670702,"D58A_FO","KNOW",1111.87692231667,39.6796280972288
"Old.Male.hope",16.3265306122449,"velar",0.128280871670702,"D58A_FO","KNOW",1191.09752751217,44.9775691160139
"Young.Male.hope",16.3265306122449,"velar",0.128280871670702,"D58A_FO","KNOW",1394.9514454292,49.0531629317152
"Old.Female.hole",16.3265306122449,"velar",0.128280871670702,"D58A_FO","KNOW",1011.29952380715,56.4872137932736
"Old.Male.hole",16.3265306122449,"velar",0.128280871670702,"D58A_FO","KNOW",1203.35280100203,102.307507616605
"Young.Male.hole",16.3265306122449,"velar",0.128280871670702,"D58A_FO","KNOW",1014.33627456232,140.82625973841
"Old.Female.hope",18.3673469387755,"velar",0.128280871670702,"D58A_FO","KNOW",1107.4473599441,37.5582328372192
"Old.Male.hope",18.3673469387755,"velar",0.128280871670702,"D58A_FO","KNOW",1189.03635480267,43.511559415276
"Young.Male.hope",18.3673469387755,"velar",0.128280871670702,"D58A_FO","KNOW",1400.3011126836,47.8846450721418
"Old.Female.hole",18.3673469387755,"velar",0.128280871670702,"D58A_FO","KNOW",1006.81725764967,53.939632568286
"Old.Male.hole",18.3673469387755,"velar",0.128280871670702,"D58A_FO","KNOW",1193.47875208344,98.9468068922167
"Young.Male.hole",18.3673469387755,"velar",0.128280871670702,"D58A_FO","KNOW",1021.7251132203,136.133158650452
"Old.Female.hope",20.4081632653061,"velar",0.128280871670702,"D58A_FO","KNOW",1102.19652769823,35.4531896502068
"Old.Male.hope",20.4081632653061,"velar",0.128280871670702,"D58A_FO","KNOW",1186.15391813667,42.2035668406232
